Vertex A ID,Vertex B ID
21,20
20,19
19,18
18,1
1,0
1,2
2,3
22,162
162,23
23,11
11,5
5,6
6,7
7,8
8,9
9,10
4,5
162,163
163,164
164,23
164,146
146,145
146,13
13,14
14,15
15,24
24,25
24,16
16,17
11,12
150,149
149,148
148,147
147,141
40,165
165,166
166,167
167,38
38,37
37,36
36,35
35,34
34,33
33,39
39,32
32,142
142,31
31,30
30,28
28,29
29,27
27,26
35,160
160,161
161,140
42,43
43,49
49,48
43,73
73,44
45,67
67,46
46,73
67,68
68,69
69,70
70,71
71,72
72,60
61,64
64,65
65,66
60,168
168,62
62,63
60,59
59,58
58,57
57,56
56,55
54,51
51,52
52,53
51,50
50,48
48,47
47,46
77,80
80,81
81,82
82,102
102,83
83,84
84,85
85,78
78,86
86,87
87,88
88,89
90,91
91,92
92,93
93,94
94,79
79,101
101,100
100,99
99,98
98,97
96,95
143,151
152,153
154,155
155,103
106,156
156,157
157,158
158,159
159,169
169,170
170,172
172,173
173,174
174,144
144,175
175,176
176,177
177,108
170,171
171,107
125,124
124,123
123,122
122,121
121,120
127,128
128,129
129,130
130,131
132,133
133,126
139,138
138,137
137,136
136,135
135,134
41,42
168,61
18,178
3,189
189,190
189,188
188,179
188,4
4,180
180,183
183,179
179,181
181,182
182,183
182,184
184,187
186,187
184,185
185,186
186,180
185,22
194,191
191,192
192,193
193,36
191,38
33,201
201,200
200,199
199,198
198,202
202,201
201,203
203,197
197,198
197,196
196,195
195,165
204,28
29,206
206,205
204,205
205,209
209,208
208,207
207,27
212,44
212,210
210,211
211,213
213,212
213,45
215,69
215,214
214,55
214,54
215,216
216,71
68,74
74,75
75,76
64,217
221,220
220,219
219,218
218,80
218,222
223,224
224,225
81,226
226,227
227,229
229,230
230,231
231,232
232,89
233,230
227,228
228,234
234,83
234,233
86,238
238,239
239,240
240,241
89,241
241,90
240,242
242,243
243,90
235,236
236,237
235,86
99,244
244,245
245,97
97,247
247,246
246,245
247,96
98,248
252,253
253,254
254,251
251,252
251,250
250,255
255,254
255,256
256,257
257,258
258,259
259,260
260,256
260,261
261,262
262,268
268,267
267,266
266,265
265,263
263,264
264,249
249,250
249,105
263,261
273,274
274,275
275,289
289,290
290,291
291,292
292,293
293,288
288,287
287,286
286,276
276,275
273,272
272,275
272,271
271,276
271,270
270,277
277,286
277,278
270,269
269,104
269,279
279,278
278,281
281,285
285,284
284,283
283,282
282,280
280,281
280,279
153,294
153,296
296,154
296,295
156,297
297,298
171,301
301,302
301,300
300,299
299,173
176,303
305,304
304,108
306,300
110,316
316,315
315,314
314,313
311,312
311,310
310,307
307,308
308,309
307,111
109,317
113,318
114,319
115,320
321,322
321,118
132,324
324,323
324,131
136,325
118,119
119,120
120,126
126,134
0,141
141,41
41,77
77,105
105,106
145,40
40,53
53,78
78,104
104,107
107,109
109,112
112,113
113,114
114,115
115,116
116,117
17,142
142,58
58,79
79,143
143,144
144,110
26,66
66,95
95,103
103,108
108,111
10,125
76,139
223,326
222,328
328,223
328,327
224,329
224,330
223,331
246,333
244,332
252,334
334,251
154,335
151,336
336,152
336,337
297,338
170,339
339,172
305,340
314,341
341,311
341,342
342,343
